index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
779,pyside%2Fpyside-setup~dev~Id10f03d06f7dd82fdd90a93d8f8df9e1bd36ae85,https://codereview.qt-project.org/332307,1,3,0,0,180,37,1,1,75.1825,161,refactoring/,refactor|,refactoring/,refactor|,WIP: Refactor using,WIP: Refactor using  todo  is this needed at all(binding-wise due to the base class)  see however libsample  Change-Id: Id10f03d06f7dd82fdd90a93d8f8df9e1bd36ae85
921,pyside%2Fpyside-setup~dev~I5d306f5e551b2783362fd0aed3050172f68402d1,https://codereview.qt-project.org/325851,1,7,1,0,372,147,3,3,1099.045,106,refactoring/,refactor|,refactoring/,refactor|,WIP: shiboken6: Refactor operator function detection,WIP: shiboken6: Refactor operator function detection  Change-Id: I5d306f5e551b2783362fd0aed3050172f68402d1
1054,qt%2Fqtdeclarative~5.9~I836e47199daee9522d41143f839d2444588ec9a4,https://codereview.qt-project.org/196433,1,4,0,0,86,41,2,1,7976.60055555556,238,refactoring/,refactor|,refactoring/,refactor|,Refactor the identifier() code in the QV4::Codegen,"Refactor the identifier() code in the QV4::Codegen  Prepare is, so we can record more exactly which variables of a context can escape and need to be stored as locals in the CallContext  Change-Id: I836e47199daee9522d41143f839d2444588ec9a4"
1771,qt%2Fqtdeclarative~5.11~I48f71d4e86058005bced9353b69ee49ec6229bed,https://codereview.qt-project.org/220386,1,4,0,0,86,25,2,2,21.3486111111111,231,refactoring/,refactor|,refactoring/,refactor|,"Refactor fromQmlScopeObject(), fromQmlContextObject()","Refactor fromQmlScopeObject(), fromQmlContextObject()  Pass QQmlPropertyData so that these functions can calculate stuff themselves instead of relying on the call site to do it.  Change-Id: I48f71d4e86058005bced9353b69ee49ec6229bed"
1772,qt%2Fqtbase~dev~I33f6f5f12a78c25931f072c528c5766539776fe1,https://codereview.qt-project.org/219699,2,3,0,0,272,219,1,3,165.775,130,refactoring/,refactor|,refactoring/,refactor|,WIP: WIP: Refactor tst_qmenu + suppres spurious mouse WINdows,WIP: WIP: Refactor tst_qmenu + suppres spurious mouse WINdows  Do not submit  Change-Id: I33f6f5f12a78c25931f072c528c5766539776fe1
1834,qt%2Fqtbase~dev~Iec64f9accff62e9acb08942b2fa95ab15c3546b5,https://codereview.qt-project.org/213429,9,6,7,0,557,529,1,17,1673.62416666667,233,refactoring/,refactor|,refactoring/,refactor|,Refactor qt_mac_toQPixmap to handle HiDPI and template images,Refactor qt_mac_toQPixmap to handle HiDPI and template images  This will allow us to get better conversion fidelity from NSImage and prepare for its use in more creative arenas...  Change-Id: Iec64f9accff62e9acb08942b2fa95ab15c3546b5
1918,qt-creator%2Fqt-creator~master~I03680d14dcce077e5cece1fb18a25d46ee8c347e,https://codereview.qt-project.org/219124,4,6,6,0,1283036,451,2,13,6.18722222222222,106,refactoring/,refactor|,refactoring/,refactor|,Clang: Refactor TokenInfos,Clang: Refactor TokenInfos  Remove code duplication.  Change-Id: I03680d14dcce077e5cece1fb18a25d46ee8c347e
2255,qt-creator%2Fqt-creator~master~Ia0de109e92b128aef4c18255621767280e0dcfef,https://codereview.qt-project.org/214955,5,9,1,0,318,171,4,4,525.579444444444,240,refactoring/,refactor|,refactoring/,refactor|,QmlDesigner: Refactor DesignDocument and DesignDocumentView,QmlDesigner: Refactor DesignDocument and DesignDocumentView  We want to be able to reuse the copy and paste code in other parts. Therefore we move most of the code to DesignDocumentView.  Change-Id: Ia0de109e92b128aef4c18255621767280e0dcfef
2892,qt%2Fqtbase~5.10~I1461a0f8eb7d417486fd2db1b88f9c2e6002d089,https://codereview.qt-project.org/210125,4,6,0,0,370,14,1,1,20.5225,708,refactoring/,refactor|,refactoring/,refactor|,Refactor childIdListForAccessibleObject,"Refactor childIdListForAccessibleObject  It has several problems:  1. It could potentially create an intArray with uninitialized elements.    This could happen because the index for getting interfaces were the    same as the storage index.  This was not correct, because they could    diverge if iface->child() returned an invalid interface.  2. The count of accessible child elements could change while iterating.    This could cause out-of-bounds condition when calling    SetIntArrayRegion as described in QTBUG-45855. Instead now, we call    SetIntArrayRegion only once, after we have gathered all the child    interface ids.  Change-Id: I1461a0f8eb7d417486fd2db1b88f9c2e6002d089 Task-number: QTBUG-45855"
3367,qt%2Fqtwayland~dev~I3daed9f9193b0871a0939739e43d7b556072ec2a,https://codereview.qt-project.org/207173,1,4,0,0,218,114,2,3,19.855,174,refactoring/,refactor|,refactoring/,refactor|,Refactor QWaylandPointer,Refactor QWaylandPointer  Makes it easier to follow enter and leave logic. Also add a missing buttonPressedChanged emit.  Change-Id: I3daed9f9193b0871a0939739e43d7b556072ec2a
3928,qt%2Fqtbase~5.8~Id7d6ee98a587cfd495bf5a7899f7b195e30ae790,https://codereview.qt-project.org/169774,2,2,1,0,224,517,1,7,9388.78333333333,627,refactoring/,refactor|,refactoring/,refactor|,Cocoa: Refactor QCococaGLContext,"Cocoa: Refactor QCococaGLContext  Prepare for supporting 	QCocoaWindow/QNSView that uses a NSOpenGLLayer subclass as a backing layer. NSOpenGLLayer has a callback-based API and handles tasks like making the context current at draw time.  Factor out functions for creating native pixel format and context objects in to static helper functions to make them accessible from the layer subclass.  Modify the context virtual functions to work when using a layer: makeCurrent() and doneCurrent() become no-ops, defaultFramebufferObject() asks QCocoaWindow what the current FBO is.  Change-Id: Id7d6ee98a587cfd495bf5a7899f7b195e30ae790"
3976,qt%2Fqtbase~dev~I6e931c419a654b0161ecf6e41fa658e417ffb07a,https://codereview.qt-project.org/167791,6,8,14,0,302,102,2,2,9858.14972222222,149,refactoring/,refactor|,refactoring/,refactor|,inotify: refactor event reading code,inotify: refactor event reading code  In preparation of larger refactoring in follow-up commit.  Change-Id: I6e931c419a654b0161ecf6e41fa658e417ffb07a
