index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
214453,qt%2Fqtbase~master~I837f18f043b18410c1d93b9f1156acf729dad510,https://codereview.qt-project.org/142,1,0,0,0,0,275,1,6,1.31222222222222,180,,,,,Support of lambdas in QtConcurrent::run,Support of lambdas in QtConcurrent::run  Reviewed-by: Joao (cherry picked from commit 917f2ff617209bcc283eb3590b422bcf239c0537) Change-Id: I837f18f043b18410c1d93b9f1156acf729dad510
214448,qt%2Fqtbase~master~I837f18f043b18410c1d93b9f1156acf729dad510,https://codereview.qt-project.org/145,0,0,0,0,0,2,1,1,6.41777777777778,142,,,,,Fix typo in comment,Fix typo in comment  (cherry picked from commit c8a3c427e96ee11907592f5c7f72046795c027ed) Change-Id: I837f18f043b18410c1d93b9f1156acf729dad510
214454,qt%2Fqtbase~master~I837f18f043b18410c1d93b9f1156acf729dad510,https://codereview.qt-project.org/144,1,0,0,0,0,21,1,1,1.31194444444444,251,,,,,Tests for QtConcurrent::map using lambdas,Tests for QtConcurrent::map using lambdas  Also disable tests with std::vector in c++0x as they do not compile  Reviewed-by: Joao (cherry picked from commit 38d1b31006ecc83811bbb13e5a4182eac593a970) Change-Id: I837f18f043b18410c1d93b9f1156acf729dad510
214451,qt%2Fqtbase~master~I8913c88e5bd68145e0587d51ee9896fd5d21054a,https://codereview.qt-project.org/140,0,0,0,0,0,22,1,1,1.3125,102,,,,,Added some of my Qt 4.8 changes to the changelog,Added some of my Qt 4.8 changes to the changelog  Change-Id: I8913c88e5bd68145e0587d51ee9896fd5d21054a
24268,qt-creator%2Fqt-creator~3.0~I47459b4eaeaabe5d150d546914dd5c77a267723b,https://codereview.qt-project.org/67949,0,1,0,0,22,2,1,1,0.110277777777778,159,,,,,"Qt4ProjectManager: Importing builds, fix logic for ""debug"" vs. ""release""","Qt4ProjectManager: Importing builds, fix logic for ""debug"" vs. ""release""  Task-number: QTCREATORBUG-10360  Change-Id: I47459b4eaeaabe5d150d546914dd5c77a267723b"
212638,qt%2Fqtbase~master~Ib587335bb90306e65969bb26256fb388f8f6bd24,https://codereview.qt-project.org/1666,1,1,0,0,62,28,1,1,22.1319444444444,264,,,,,Fix the timeout calculation for futexes in QMutex.,Fix the timeout calculation for futexes in QMutex.  Recalculate how much time is remaining.  This commit needs to be backported to 4.8.  Change-Id: Ib587335bb90306e65969bb26256fb388f8f6bd24 Merge-request: 20 Reviewed-by: Olivier Goffart <olivier.goffart@nokia.com>
32181,qt%2Fqtbase~api_changes~I0cbc0fef63814ab037bea66ab35b3aa8b6ec800c,https://codereview.qt-project.org/17798,2,1,0,0,36,66,1,2,0.33,179,,,,,qmimetypeparser: more optimized definition of string constants,qmimetypeparser: more optimized definition of string constants  Change-Id: I0cbc0fef63814ab037bea66ab35b3aa8b6ec800c Reviewed-by: Oswald Buddenhagen <oswald.buddenhagen@nokia.com>
24655,qt%2Fqtdeclarative~dev~I7e9c47327eb0ac285af2b865cb62741935c21e29,https://codereview.qt-project.org/65699,0,1,0,0,41,3,1,1,19.5005555555556,75,,,,,unskipped tests again,unskipped tests again  Change-Id: I7e9c47327eb0ac285af2b865cb62741935c21e29
31491,qt-creator%2Fqt-creator~master~I7a5442428cba0b316ad5e420b37bf3e180c0c9f9,https://codereview.qt-project.org/21779,1,2,0,0,71,2,1,1,0.0316666666666667,104,,,,,debugger: fix capitalization in stack context menu,debugger: fix capitalization in stack context menu  Change-Id: I7a5442428cba0b316ad5e420b37bf3e180c0c9f9
4248,qt%2Fqtwebengine-chromium~49-based~Ib0fbb72dc052230547eac6d2b163a3814ed53f15,https://codereview.qt-project.org/154635,2,2,0,0,160,979462,1,7418,12955.055,89,,,,,WIP: Add files for chrome extension,WIP: Add files for chrome extension  Change-Id: Ib0fbb72dc052230547eac6d2b163a3814ed53f15
23994,qbs%2Fqbs~1.1~Ib1e64e6eb903a015f095a17885e2917f861072f9,https://codereview.qt-project.org/70304,1,2,0,0,70,6,1,1,0.0861111111111111,129,,,,,Fix use_installed.pri.,Fix use_installed.pri.  Apply the same change as for use.pri in fbe28faf98.  Change-Id: Ib1e64e6eb903a015f095a17885e2917f861072f9
23197,qt%2Fqtdeclarative~dev~I5cc82b20fee8e3f0b61ad59b831723359c8dcda4,https://codereview.qt-project.org/75174,3,2,0,0,86,28,1,1,0.0730555555555556,271,,,,,Remove unused static functions from QtQml found by Clang 3.4,"Remove unused static functions from QtQml found by Clang 3.4  qqmlcomponent.cpp:112:23: error: unused function 'buildTypeNameForDebug' [-Werror,-Wunused-function]  Change-Id: I5cc82b20fee8e3f0b61ad59b831723359c8dcda4 Reviewed-by: Simon Hausmann <simon.hausmann@digia.com>"
113197,qt%2Fqtwebengine-chromium~40.0.2214-based~Ie55f128f15e934e37d42afe9704cbb6f5d9328cf,https://codereview.qt-project.org/107244,3,3,0,0,107,44,2,1,0.2125,426,,,,,<third_party/angle> Remove duplicated file,"<third_party/angle> Remove duplicated file  The directory has Constants.h and constants.h. The two files are identical and the source code includes Constants.h. However the presense of these two files that only differ in case presents a problem for the source packaging on Windows, with its case insensitive filesystem. So let's just remove the seemingly unnecessary file.  Change-Id: Ie55f128f15e934e37d42afe9704cbb6f5d9328cf"
7894,qt%2Fqtdeclarative~wip%2Fscenegraphng~I16934eca85801817705bc29b85923a0eea9b4cb1,https://codereview.qt-project.org/180238,2,3,0,0,73,155,1,7,38.4616666666667,291,,,,,Implement software backend for PathItem,"Implement software backend for PathItem  ...and fix up some items in the gallery that were drawing out of bounds. With the sw backend and a rendernode claiming BoundedRectRendering such mistakes become visible right away, unlike with GL.  Change-Id: I16934eca85801817705bc29b85923a0eea9b4cb1"
203762,qt%2Fqtfeedback~master~Ia1ca366b3f7b329b7aed76c427b62cc15ad9355e,https://codereview.qt-project.org/10532,4,3,0,0,185,28,1,2,72.1938888888889,85,,,,,Remove unused QTRY_WAIT macros.,Remove unused QTRY_WAIT macros.  Change-Id: Ia1ca366b3f7b329b7aed76c427b62cc15ad9355e
287824,qt-creator%2Fqt-creator~master~Ic10099c2a2f3a070c972442736e50e797a063597,https://codereview.qt-project.org/228504,3,3,0,0,96,14,2,7,2.26833333333333,161,,,,,ExtensionSystem/Aggregation: Use override consistently,ExtensionSystem/Aggregation: Use override consistently  clang-tidy fixes from modernize-use-override check.  Change-Id: Ic10099c2a2f3a070c972442736e50e797a063597
139321,qt-creator%2Fqt-creator~wip%2Fvcproj~Id564204974baa72b73672e1dbbf2970f82fed570,https://codereview.qt-project.org/78836,3,4,8,0,482,403,1,12,41.4116666666667,89,,,,,Added ConfigurationContainer class.,Added ConfigurationContainer class.  Change-Id: Id564204974baa72b73672e1dbbf2970f82fed570
7856,qt-creator%2Fqt-creator~master~I756a5164d52feee1e45bfebacbd45cc232628b79,https://codereview.qt-project.org/180554,2,4,0,0,107,2,2,1,1.44388888888889,195,,,,,MSVC: Increase timeout for environment detection,MSVC: Increase timeout for environment detection  Surprisingly many users apparently do run into the timeout.  Task-number: QTCREATORBUG-17474 Change-Id: I756a5164d52feee1e45bfebacbd45cc232628b79
93789,qt%2Fqtbase~dev~I17a91c378175dbbe8066bccb94cc93f0a1fd3d71,https://codereview.qt-project.org/144884,5,4,0,0,447,1,2,1,2.21472222222222,119,,,,,QPlatformTheme: Resync StandardPixmap with QStyle::StandardPixmap,QPlatformTheme: Resync StandardPixmap with QStyle::StandardPixmap  Change-Id: I17a91c378175dbbe8066bccb94cc93f0a1fd3d71
56522,qt%2Fqtconnectivity~5.9~Ieefa1cf6f07b05d12e2381d6c72ab56d78b3e7fd,https://codereview.qt-project.org/194003,4,4,0,0,432,2,2,1,1.16944444444444,106,,,,,Doc: iOS does not have support for classic bluetooth,Doc: iOS does not have support for classic bluetooth  Change-Id: Ieefa1cf6f07b05d12e2381d6c72ab56d78b3e7fd
186911,qt%2Fqtlocation~master~Iec025e794c995f4129e2686bddff1e0e815a930e,https://codereview.qt-project.org/29090,3,5,0,0,335,8,1,1,3.595,171,,,,,Prevent mapitems from overriding quickitem's visible property,Prevent mapitems from overriding quickitem's visible property  Setting visible to false in QML will now actually work  Change-Id: Iec025e794c995f4129e2686bddff1e0e815a930e
11979,qt%2Fqt5~5.12~I2f50814e26e756bbf5cf3d74a4a1c5c00426ab4a,https://codereview.qt-project.org/316594,6,5,2,0,413,60,1,2,8.62361111111111,378,,,,,Provisioning: Install Ninja binary,Provisioning: Install Ninja binary  Install Ninja binary without using brew  Task-number: QTQAINFRA-3954 Change-Id: I2f50814e26e756bbf5cf3d74a4a1c5c00426ab4a Reviewed-by: Alexandru Croitor <alexandru.croitor@qt.io> Reviewed-by: Toni Saario <toni.saario@qt.io> Reviewed-by: Qt CI Bot <qt_ci_bot@qt-project.org> (cherry picked from commit aee06febca2305b9442c5a43d6648ead5b28e4d4)
69974,qt%2Fqtgamepad~5.8~I2e4470e901b91c824ae93dbc9fde41ec03460356,https://codereview.qt-project.org/169323,3,5,0,0,435,2,2,1,1968.54083333333,187,,,,,Improve robustness of QML plugin loading,Improve robustness of QML plugin loading  Use a variable that expands to the latest plugin version instead of hard-coding the string.  Change-Id: I2e4470e901b91c824ae93dbc9fde41ec03460356
282029,qt-creator%2Fqt-creator~master~Iff39e5e74737632d7a4ffd8553ff757e3954e010,https://codereview.qt-project.org/236443,3,5,0,0,145,8,3,1,0.294444444444444,130,,,,,Clang: Fix MSVC build,Clang: Fix MSVC build  For some reason it asks for more operator() versions.  Change-Id: Iff39e5e74737632d7a4ffd8553ff757e3954e010
155879,qt%2Fqttools~stable~Iae5c66ebebe580595a16caa765eeee9f5e97f2c4,https://codereview.qt-project.org/62045,3,6,0,0,465,4,1,1,119.4875,98,,,,,don't claim that single slashes are comments,don't claim that single slashes are comments  Change-Id: Iae5c66ebebe580595a16caa765eeee9f5e97f2c4
12442,qt-creator%2Fqt-creator~master~I4214c286c0f74ab8e05bbf047ef56b1a0b90846c,https://codereview.qt-project.org/144476,1,6,0,0,187,122,3,1,47.9855555555556,370,,,,,FileSearch: Do not keep future interface as state.,"FileSearch: Do not keep future interface as state.  Makes it clearer that search and collect functions use it. It also is the first of more to come clean up patches, that are possible now that we do not use QtConcurrent::mappedReduced anymore, and are enablers for creating a new, better generic algorithm out of it.  Change-Id: I4214c286c0f74ab8e05bbf047ef56b1a0b90846c"
